TransLangKey,Language,TransDescription,Few,Many,One,Other,Two,Zero,CreationDate
accept_en,en,Accept,,,,,,,10/03/2015
action_settings_en,en,Settings,,,,,,,10/03/2015
active_trip_en,en,Active trip,,,,,,,10/03/2015
add_bags_and_sports_equipment_en,en,Add Bags & Sports Equipment,,,,,,,10/03/2015
add_bags_en,en,Add bags,,,,,,,10/03/2015
add_boarding_pass_en,en,Add a Boarding Pass For This Booking,,,,,,,10/03/2015
add_emergency_contact_en,en,Add Emergency Contact,,,,,,,10/03/2015
add_en,en,Add,,,,,,,10/03/2015
add_it_to_cart_en,en,Add it to the Cart,,,,,,,10/03/2015
add_other_equipment_en,en,Add other equipment,,,,,,,10/03/2015
add_trip_extras_en,en,Add a little extra,,,,,,,10/03/2015
adt_description_en,en,16+ years,,,,,,,10/03/2015
adt_fare_en,en,Adult Fare,,,1 x Adult Fare,%d x Adult Fares,,,10/03/2015
adt_inf_restriction_en,en,Safety note! You can't travel with more infants than adults,,,,,,,10/03/2015
adt_pax_title_en,en,Adult passeneger,,,,,,,10/03/2015
adults_en,en,Adults,,,,,,,10/03/2015
aircraft_en,en,_,,,,,,,10/03/2015
airport_promoted_en,en,Airport,,,,,,,10/03/2015
airports_adapter_all_en,en,All,,,,,,,10/03/2015
airports_adapter_nearby_en,en,Nearby,,,,,,,10/03/2015
airports_adapter_no_gps_en,en,We couldn't find your GPS  location! Turn GPS on your device so we can find airports near you,,,,,,,10/03/2015
airports_adapter_no_location_en,en,We can't find you!,,,,,,,10/03/2015
airports_adapter_recentSearch_en,en,Recent Search,,,,,,,10/03/2015
and_en,en,and,,,,,,,10/03/2015
app_name_en,en,Ryanair,,,,,,,10/03/2015
arrival_en,en,Arrival,,,,,,,10/03/2015
arrives_en,en,Arrives,,,,,,,10/03/2015
availability_en,en,Availability,,,,,,,10/03/2015
availability_label_operated_en,en,Operated by %s,,,,,,,10/03/2015
bags_info_en,en,You get a Free cabin bag up to 10kg and one other small bag.  Buy up to 2 checked-in bags per person with a max weight of 35kg. ,,,,,,,10/03/2015
bags_title_en,en,Bags added x%,,,,,,,10/03/2015
barcode_en,en,Barcode,,,,,,,10/03/2015
billing_address_en,en,Billing Address,,,,,,,10/03/2015
billing_country_en,en,Billing Country,,,,,,,10/03/2015
birth_date_en,en,Birth Date,,,,,,,10/03/2015
boarding_en,en,Boarding,,,,,,,10/03/2015
boarding_pass_en,en,Boarding pass,,,,,,,10/03/2015
book_en,en,Book flight,,,,,,,10/03/2015
booking_confirmed_en,en,Booking Confirmed,,,,,,,10/03/2015
booking_not_confirmed_en,en,We'll send you a mail when your booking has been confirmed,,,,,,,10/03/2015
booking_pending_en,en,Booking Pending,,,,,,,10/03/2015
business_fare_en,en,Business plus,,,,,,,10/03/2015
business_plus_en,en,Business plus,,,,,,,10/03/2015
cabin_baggage_en,en,Cabin baggage,,,,,,,10/03/2015
calendar_day_name_format_en,en,EEE,,,,,,,10/03/2015
calendar_invalid_date_en,en,The date needs to be between %1$s and %2$s.,,,,,,,10/03/2015
calendar_month_name_format_en,en,MMMM yyyy,,,,,,,10/03/2015
cancel_en,en,Cancel,,,,,,,10/03/2015
car_hire_en,en,Car hire,,,,,,,10/03/2015
card_details_en,en,Card details,,,,,,,10/03/2015
card_extra_bags_bullets_en,en,Extra bags,,,,,,,10/03/2015
