TransLangKey,Language,TransDescription,Few,Many,One,Other,Two,Zero,CreationDate
accept_en,en,Accept,,,,,,,11/02/2015
action_settings_en,en,Settings,,,,,,,11/02/2015
active_trip_en,en,Active trip,,,,,,,11/02/2015
add_bags_and_sports_equipment_en,en,Add Bags & Sports Equipment,,,,,,,11/02/2015
add_bags_en,en,Add bags,,,,,,,11/02/2015
add_boarding_pass_en,en,Add a Boarding Pass For This Booking,,,,,,,11/02/2015
add_emergency_contact_en,en,Add Emergency Contact,,,,,,,11/02/2015
add_en,en,Add,,,,,,,11/02/2015
add_it_to_cart_en,en,Add it to the Cart,,,,,,,11/02/2015
add_other_equipment_en,en,Add other equipment,,,,,,,11/02/2015
add_trip_extras_en,en,Add a little extra,,,,,,,11/02/2015
adt_description_en,en,16+ years,,,,,,,11/02/2015
adt_fare_en,en,Adult Fare,,,1 x Adult Fare,%d x Adult Fares,,,11/02/2015
adt_inf_restriction_en,en,Safety note! You can't travel with more infants than adults,,,,,,,11/02/2015
adt_pax_title_en,en,adt_pax_title,,,,,,,11/02/2015
adults_en,en,Adults,,,,,,,11/02/2015
aircraft_en,en,_,,,,,,,11/02/2015
airport_promoted_en,en,airport promoted,,,,,,,11/02/2015
airports_adapter_all_en,en,All,,,,,,,11/02/2015
airports_adapter_nearby_en,en,Nearby,,,,,,,11/02/2015
airports_adapter_no_gps_en,en,We couldn't find your GPS  location! Turn GPS on your device so we can find airports near you,,,,,,,11/02/2015
airports_adapter_no_location_en,en,We can't find you!,,,,,,,11/02/2015
airports_adapter_recentSearch_en,en,Recent Search,,,,,,,11/02/2015
and_en,en,and,,,,,,,11/02/2015
app_name_en,en,Ryanair,,,,,,,11/02/2015
arrival_en,en,Arrival,,,,,,,11/02/2015
arrives_en,en,Arrives,,,,,,,11/02/2015
availability_en,en,Availability,,,,,,,11/02/2015
availability_label_operated_en,en,Operated by %s,,,,,,,11/02/2015
bags_info_en,en,You get a Free cabin bag up to 10kg and one other small bag.  Buy up to 2 checked-in bags per person with a max weight of 35kg. ,,,,,,,11/02/2015
bags_title_en,en,bags_title,,,,,,,11/02/2015
barcode_en,en,Barcode,,,,,,,11/02/2015
billing_address_en,en,Billing Address,,,,,,,11/02/2015
billing_country_en,en,Billing Country,,,,,,,11/02/2015
birth_date_en,en,Birth Date,,,,,,,11/02/2015
boarding_en,en,Boarding,,,,,,,11/02/2015
boarding_pass_en,en,Boarding pass,,,,,,,11/02/2015
book_en,en,BOOK FLIGHT,,,,,,,11/02/2015
booking_confirmed_en,en,Booking Confirmed,,,,,,,11/02/2015
booking_not_confirmed_en,en,We'll send you a mail when your booking has been confirmed,,,,,,,11/02/2015
booking_pending_en,en,Booking Pending,,,,,,,11/02/2015
business_fare_en,en,Business plus,,,,,,,11/02/2015
business_plus_en,en,Business plus,,,,,,,11/02/2015
cabin_baggage_en,en,Cabin baggage,,,,,,,11/02/2015
calendar_day_name_format_en,en,EEE,,,,,,,11/02/2015
calendar_invalid_date_en,en,The date needs to be between %1$s and %2$s.,,,,,,,11/02/2015
calendar_month_name_format_en,en,MMMM yyyy,,,,,,,11/02/2015
cancel_en,en,Cancel,,,,,,,11/02/2015
car_hire_en,en,Car hire,,,,,,,11/02/2015
card_details_en,en,Card details,,,,,,,11/02/2015
card_extra_bags_bullets_en,en,card_extra_bags_bullets,,,,,,,11/02/2015
card_extra_bags_bullets_selected_en,en,Bags added x %s,,,Bag added x %s,,,,11/02/2015
card_extra_insurance_bullets_en,en,card_extra_insurance_bullets,,,,,,,11/02/2015
card_extra_insurance_bullets_selected_en,en,Insurance added x %s,,,,,,,11/02/2015
card_extra_insurence_bullets_en,en,,,,,,,,11/02/2015
card_extra_modify_en,en,Modify,,,,,,,11/02/2015
card_extra_seats_bullets_en,en,card_extra_seats_bullets,,,,,,,11/02/2015
card_extra_seats_bullets_selected_en,en,Seats added x %d,,,,,,,11/02/2015
card_extra_title_bags_en,en,Check-in Bags,,,,,,,11/02/2015
card_extra_title_bags_selected_en,en,Your Bags,,,,,,,11/02/2015
card_extra_title_insurance_en,en,Add Insurance,,,,,,,11/02/2015
card_extra_title_insurance_selected_en,en,Your Insurance,,,,,,,11/02/2015
card_extra_title_seats_en,en,choose your seats,,,,,,,11/02/2015
card_extra_title_seats_selected_en,en,Your Seats,,,,,,,11/02/2015
card_number_en,en,Card Number,,,,,,,11/02/2015
card_type_en,en,card_type,,,,,,,11/02/2015
ccc_fee_en,en,Credit card fee,,,,,,,11/02/2015
chd_description_en,en,2-15 years,,,,,,,11/02/2015
chd_fare_en,en,Child Fare,,,1 x Child Fare,%d x Child Fares,,,11/02/2015
checkin_bag_en,en,Check-in bag,,,,,,,11/02/2015
checkin_bags_en,en,Check-in bags,,,1 x Check-in bag,%d x Check-in bags,,,11/02/2015
children_en,en,Children,,,,,,,11/02/2015
choose_destination_en,en,Leaving from,,,,,,,11/02/2015
choose_origin_en,en,Choose origin station,,,,,,,11/02/2015
cities_promoted_en,en,cities_promoted,,,,,,,11/02/2015
city_en,en,City,,,,,,,11/02/2015
city_landscape_en,en,City landscape,,,,,,,11/02/2015
close_en,en,Close,,,,,,,11/02/2015
completed_en,en,Completed,,,,,,,11/02/2015
confirm_en,en,Confirm,,,,,,,11/02/2015
contact_details_en,en,Contact Details,,,,,,,11/02/2015
continue_text_en,en,Continue,,,,,,,11/02/2015
country_code_en,en,Country Code,,,,,,,11/02/2015
country_en,en,Country,,,,,,,11/02/2015
credit_card_en,en,Credit card,,,,,,,11/02/2015
credit_card_number_help_en,en,Enter credit or debit card number,,,,,,,11/02/2015
cvv_en,en,CVV,,,,,,,11/02/2015
date_en,en,Date,,,,,,,11/02/2015
date_field_error_en,en,Please Select Date,,,,,,,11/02/2015
debit_card_en,en,Debit card,,,,,,,11/02/2015
depart_date_en,en,Depart On:,,,,,,,11/02/2015
departs_en,en,Fly out,,,,,,,11/02/2015
